ID;date;ComputerName;Name;Vendor;Version;Decomissioned
;;S1DW-DB-S;Visual Studio 2010 Prerequisites - English;Microsoft Corporation;10.0.40219;0
;;S1DW-DB-S;Kits Configuration Installer;Microsoft;8.59.25584;0
;;S1DW-DB-S;Microsoft Visual C++ 2010  x86 Runtime - 10.0.40219;Microsoft Corporation;10.0.40219;0
;;S1DW-DB-S;HP ProLiant iLO CHIF Driver (X64);Hewlett-Packard Company;3.4.0.0;0
;;S1DW-DB-S;Windows Software Development Kit DirectX x64 Remote;Microsoft Corporation;8.59.25584;0
;;S1DW-DB-S;SDK Debuggers;Microsoft Corporation;8.59.29746;0
;;S1DW-DB-S;Microsoft Visual Studio 2010 Shell (Integrated) - ENU;Microsoft Corporation;10.0.40219;0
;;S1DW-DB-S;HP Array Configuration Utility CLI;Hewlett-Packard Development Company. L.P.;9.0.24.0;0
;;S1DW-DB-S;Microsoft Visual C++ 2005 Redistributable;Microsoft Corporation;8.0.59193;0
;;S1DW-DB-S;SQL Server 2012 Data quality client;Microsoft Corporation;11.0.2100.60;0
;;S1DW-DB-S;Microsoft System CLR Types for SQL Server 2012;Microsoft Corporation;11.0.2100.60;0
;;S1DW-DB-S;Microsoft .NET Framework 4.5 SDK;Microsoft Corporation;4.5.50710;0
;;S1DW-DB-S;HP ProLiant Health Monitor Service (X64);Hewlett-Packard Company;3.4.0.0;0
;;S1DW-DB-S;Microsoft SQL Server 2012 Data-Tier App Framework ;Microsoft Corporation;11.1.2816.0;0
;;S1DW-DB-S;SQL Server 2012 Analysis Services;Microsoft Corporation;11.1.3000.0;0
;;S1DW-DB-S;SQL Server 2012 Analysis Services;Microsoft Corporation;11.1.3000.0;0
;;S1DW-DB-S;Microsoft Visual Studio 2010 Shell (Isolated) - ENU;Microsoft Corporation;10.0.40219;0
;;S1DW-DB-S;Microsoft SQL Server 2008 R2 Management Objects;Microsoft Corporation;10.51.2500.0;0
;;S1DW-DB-S;Microsoft System CLR Types for SQL Server 2012 (x64);Microsoft Corporation;11.1.3000.0;0
;;S1DW-DB-S;Microsoft Visual Studio Tools for Applications x86 Runtime 3.0;Microsoft Corporation;10.0.40220;0
;;S1DW-DB-S;Windows Software Development Kit EULA;Microsoft Corporations;8.59.25584;0
;;S1DW-DB-S;Microsoft .NET Framework 4.5.2;Microsoft Corporation;4.5.51209;0
